Romanian,English
de,of
nu,not
să,to
și,and
în,in the
o,a
că,that
ce,what the
e,e
la,to
a,of
cu,with
pe,on
am,I have
un,a
mai,May
asta,to stay
pentru,for
este,It is
sunt,are
ai,you
te,yourself
bine,good
da,Yes
dar,but
mă,me
se,it
ca,that
din,from
fost,former
care,which
fi,be
eu,I
dacă,if
aici,here
așa,so
ești,you
trebuie,must
sa,to
cum,How
tu,you
acum,now
când,When
va,will
el,he
ar,would
lui,his
ceva,something
știu,know
doar,just
ei,They
ne,us
îmi,I
mine,me
tine,YOU
vă,yourself
poate,may be
pot,can
voi,Vol
face,do what
cred,I guess
au,have
mea,my
spus,SAPS
unde,where
meu,my
ea,she
știi,Know
bună,Hi
mult,a lot
vreau,I want
s-a,to
despre,about
vrei,want
făcut,made
sau,or
tot,all
foarte,very
pare,seems
acolo,there
chiar,even
noi,we
ta,your
era,It was
nimic,nothing
faci,do
rău,bad
are,It has
cine,who
poți,you may
nici,neither
mulțumesc,thank you
putea,can
tău,your
îți,you
fac,do
fie,or
nevoie,need
trebui,have
după,after
atunci,then
îl,him
timp,time
să-l,shawl
spun,I say
rog,PLEASE
acest,this
nu-i,not
spune,say
avem,we
al,of
le,they
vom,we will
deci,so
prea,too
cineva,someone
oh,Oh
cât,How
toate,all
până,until
aș,I would
să-ți,your
încă,yet
ani,years
cel,the
suntem,WE
vei,you
atât,so much
bun,good
sigur,sure
văzut,seen
îi,him
vor,will
vrea,like
mare,big
iar,and
haide,Come on
să-i,Let's
crezi,believe
fără,free
hei,Hey
stai,stay
să-mi,me
totul,all
avea,have
venit,income
puțin,little bit
ăsta,to stay
spui,say
avut,HAD
m-am,I
lucru,working
regulă,rule
niciodată,never
fel,kind
decât,than
văd,I'm seeing
putem,can
ceea,EAEC
n-am,I
toți,all
înainte,before
toată,all
place,like
domnule,mister
ați,you
mi-a,MY
întâmplat,happen
prin,through
s-o,and a
acasă,the home
mergem,Go
unul,one
uite,look
niște,some
hai,let's
loc,place
nimeni,no one
mama,mother
apoi,then
vezi,see
dat,given
fii,sons
l-am,I
naiba,heck
nou,new
oameni,people
această,This one
două,two
ia,takes
facem,we make
zi,day
multe,many
înapoi,back
într-o,a
jos,down
lumea,the world
nu-mi,I do not
timpul,time
găsit,finder
orice,anything
oamenii,people
auzit,heard
doi,two
dle,Mr.
luat,taken
fiecare,every
peste,over
vrut,WANTED
viața,life
astea,these
sunteți,you
fiu,son
dintre,from
merge,go
lor,their
trei,three
numele,name
om,man
știe,know
tatăl,father
cea,the
dată,date
adevărat,true
cei,the
câteva,some
noastră,Our
doamne,gosh
mele,my
te-ai,you
întâmplă,happen
i,and
înseamnă,means
du-te,Go
într-un,a
există,there is
deja,already
ziua,day
duc,lead
aia,that
parte,part
i-am,I
ți-am,I
vino,come over
destul,enough
afară,outside
serios,seriously
gata,ready
bani,money
vorbesc,I'm talking
mamă,mother
ok,K
aproape,close
vedem,We see
dau,give
numai,no more
facă,make
nostru,our
adică,namely
una,one
vin,wine
m-a,me
eram,we were
locul,the place
târziu,Late
aceasta,This one
scuze,Sorry
grijă,care
acesta,this
vine,it's coming
aveți,you have
împreună,together
repede,quick
zis,said
fapt,fact
ori,or
te-am,I
n-o,In a
putut,could
tale,your
lucruri,things
singur,single
prima,received
probabil,probable
ajuns,made
cam,about
nu-ți,do not
măcar,even
început,beginning
exact,exact
l-a,it has
viață,life
dreptate,justice
simt,sense
tocmai,just
mâine,tomorrow
noapte,night
tată,father
cele,the
ăla,that
trecut,last
zile,days
mereu,always
partea,the
lucrurile,the things
iau,I take
unui,a
plecat,gone
crezut,thought
omule,man
înțeleg,I see
imediat,immediate
ne-am,we
spre,to
azi,today
așteaptă,Wait
departe,far away
aceste,these
terminat,completed
trebuia,had
iubesc,I love
m-ai,May
casa,home
vorbești,talk
înțeles,meaning
pierdut,lost
sub,under the
copii,BOYS
frumos,beautiful
banii,the money
n-ai,pan flute
mi-am,I
mi,ml
păi,Well
simți,feel
mei,my
l-ai,you
plec,I am leaving
făcut-o,done it
gândit,thought
sus,up
n-a,N/A
s-ar,WOULD
fața,face
greu,hard
vedea,see
seara,in the evening
față,face
mi-ai,You
d-le,Mr.
dumnezeu,God
tipul,type
desigur,Of course
puteți,you can
drumul,the road
își,their
minute,minutes
dracu,hell
trebuit,had
dai,you
murit,DIED
urmă,follow
vreodată,ever
mulți,many
siguranță,safety
mie,thousand
întotdeauna,ever
ușor,Easy
femeie,woman
idee,idea
copil,child
lasă-mă,let me alone
tata,father
problemă,problem
băieți,boys
casă,home
ultima,last
ale,of
moment,time
tip,type
i-a,takes
primul,the first
aceea,that
încercat,tried
pus,put
sper,hope
noastre,our
merg,go
treaba,the job
pic,bit
s-au,or
dus,shower
seama,out
erau,They were
între,between
dă-mi,give me
bune,good
ți-a,did he
faceți,make
spune-mi,Tell me
lua,take
tare,loud
vorba,words
griji,worry
cazul,case
vreo,some
nu-l,not it
ajunge,that's enough
duci,go
ce-i,What's
ajutor,help
știm,KNOW
mort,dead
noaptea,the night
vorbim,talk
corect,correct
minunat,wonderful
ajuta,it helps
ele,they
poftim,here you go
fată,face
și-a,and
ucis,murdered
ore,hours
singură,one
altă,other
pune,put
încredere,trust
fiul,sonny
ciudat,strange
unei,of a
dumnezeule,Dear good
lăsat,dropped off
dr,Dr.
ba,nay
soția,wife
probleme,problems
veți,will you
ascultă,listen
vorbit,spoken
uită-te,behold
adus,brought
familia,the family
oraș,Town
găsi,find
pasă,pasha
data,date
luni,months
vii,are you coming
cap,head
cer,heaven
ales,chosen
crede,believe
cale,way
credeam,I thought
mașina,car
te-a,you
nicio,any
mașină,car
problema,problem
duce,lead
lângă,by
câte,by
cauza,Cause
știți,KNOW
bucur,joy
uitat,forgotten
cunosc,know
treabă,the job
acel,that
caz,case
odată,once time
pleacă,leaves
doamnă,Ms
dragă,Dear
joc,game
oricum,anyway
camera,the room
mergi,go
altceva,something else
primit,received
asemenea,also
lume,world
ochii,the eyes
ieși,go out
acord,agreement
cinci,five
știam,I knew
veni,come
patru,four
iei,take
dimineața,morning
telefon,phone
prins,caught
fratele,brother
simplu,simple
același,same
întors,returned
salut,Hello
să-și,Let him